,Department,Job,Employee Identifier,Total Salary,Retirement,Health and Dental,Other Benefits,Total Benefits,Total Compensation,Year
5793,Department of Technology,IT Operations Support Admin II,42425839,96576.05,17811.46,15088.45,7243.48,40143.39,136719.44,2020
5794,Department of Technology,IT Operations Support Admn III,43816118,80260.56,16747.92,15088.45,6241.42,38077.79,118338.35,2020
5798,Department of Technology,IS Engineer-Senior,42996200,88034.9,18320.03,10736.01,6862.42,35918.46,123953.36,2020
5799,Department of Technology,"StdntDsgnTrain1, Arch/Eng/Plng",41186298,8205.94,0.0,0.0,636.93,636.93,8842.87,2020
5802,Department of Technology,IS Engineer-Assistant,43516221,70522.53,13822.39,9851.01,5651.09,29324.49,99847.02,2020
8207,Department of Technology,Communications Systems Tech,36863906,129537.9,22707.66,14161.76,10390.34,47259.76,176797.66,2018
8224,Department of Technology,Senior Comm Systems Technican,36662776,158755.92,27036.69,14161.76,10523.92,51722.37,210478.29,2018
8242,Department of Technology,IS Engineer-Principal,37224417,117409.16,15700.75,7667.34,7407.91,30776.0,148185.16,2018
8243,Department of Technology,Pr Administrative Analyst,37014144,128660.04,24100.53,14239.35,10001.74,48341.62,177001.66,2018
8246,Department of Technology,Electrical Line Worker,36865259,151493.74,21350.55,16296.83,10928.13,48575.51,200069.25,2018
8247,Department of Technology,Manager VI,36858763,185536.0,34754.39,17294.69,11364.76,63413.84,248949.84,2018
8271,Department of Technology,Senior Account Clerk,37224743,74824.14,14065.46,14271.54,5891.26,34228.26,109052.4,2018
8272,Department of Technology,Manager II,37203239,135004.02,25290.94,17294.69,10750.38,53336.01,188340.03,2018
8286,Department of Technology,IT Operations Support Admin V,36721981,132341.55,23666.87,14239.35,10612.66,48518.88,180860.43,2018
8294,Department of Technology,IS Programmer Analyst-Senior,37149359,14858.26,2002.8,1588.24,1201.3,4792.34,19650.6,2018
8316,Department of Technology,IS Engineer-Principal,37004096,123139.8,22821.16,13144.01,9857.57,45822.74,168962.54,2018
8930,Department of Technology,Media/Security Syst Supv,37458788,144666.77,22821.13,15454.52,10632.42,48908.07,193574.84,2019
8956,Department of Technology,IS Business Analyst-Principal,37615725,145852.01,27165.84,14628.56,10931.01,52725.41,198577.42,2019
8998,Department of Technology,Electrical Line Helper,39246088,76017.45,16423.52,16491.55,6073.5,38988.57,115006.02,2019
8999,Department of Technology,IT Operations Support Admin V,37457668,137367.38,24457.17,14628.56,10869.98,49955.71,187323.09,2019
9013,Department of Technology,Communications Systems Tech,37485171,149369.93,23645.16,14599.17,11262.3,49506.63,198876.56,2019
9014,Department of Technology,Cable Splicer,37476943,138211.46,21047.71,15738.44,10238.35,47024.5,185235.96,2019
9025,Department of Technology,Manager II,37500425,113061.69,21060.05,16880.24,8837.54,46777.83,159839.52,2019
9052,Department of Technology,Media Production Tech,37492575,23707.08,0.0,0.0,1840.04,1840.04,25547.12,2019
9538,Department of Technology,IT Operations Support Admn III,38125984,63929.84,11701.25,10880.97,4929.18,27511.4,91441.24,2018
9549,Department of Technology,IS Engineer-Senior,38266017,147252.0,27535.54,14433.94,10789.45,52758.93,200010.93,2018
9550,Department of Technology,IT Operations Support Admin IV,37462656,111501.92,20270.48,14433.94,9002.09,43706.51,155208.43,2018
9697,Department of Technology,IS Engineer-Senior,42445599,167528.39,32981.05,15297.0,11792.11,60070.16,227598.55,2020
9698,Department of Technology,Media Programming Spec,43346139,27227.34,5508.81,4928.47,2429.07,12866.35,40093.69,2020
9710,Department of Technology,Fire Alarm Dispatcher,45156507,31330.81,0.0,5315.22,2434.3,7749.52,39080.33,2020
9745,Department of Technology,Cable Splicer,42419305,133299.83,26570.3,18511.56,10568.87,55650.73,188950.56,2020
9756,Department of Technology,Media Production Tech,43216093,24127.94,3838.26,6064.58,2010.13,11912.97,36040.91,2020
9778,Department of Technology,IS Engineer-Senior,44086255,79173.33,16269.57,8884.03,5875.73,31029.33,110202.66,2020
9812,Department of Technology,IS Engineer-Principal,44966117,167376.01,35482.26,15297.0,11748.08,62527.34,229903.35,2020
9813,Department of Technology,Communication Line Sprv1,44076170,174954.98,27282.34,18378.68,12029.61,57690.63,232645.61,2020
9837,Department of Technology,Manager IV,45566112,177616.04,37650.47,22496.07,11912.79,72059.33,249675.37,2020
9838,Department of Technology,Cable Splicer,42436713,154467.94,28234.9,18511.56,11422.87,58169.33,212637.27,2020
10835,Department of Technology,Engineering Associate 1,46866475,91793.43,20283.1,15603.29,7377.55,43263.94,135057.37,2021
10848,Department of Technology,Cable Splicer,45296150,61344.4,11480.21,7916.99,4855.84,24253.04,85597.44,2021
10868,Department of Technology,IT Operations Support Admin V,45703974,138656.05,30538.85,15603.29,10951.29,57093.43,195749.48,2021
10878,Department of Technology,Dep Dir IV,46906539,213481.34,43637.79,16824.13,12147.52,72609.44,286090.78,2021
10888,Department of Technology,Public Information Officer,46576777,43644.9,9855.04,7741.63,3313.3,20909.97,64554.87,2021
10905,Department of Technology,IS Engineer-Senior,46396927,163514.21,34754.49,15603.29,11717.51,62075.29,225589.5,2021
13076,Department of Technology,Project Manager 2,48956476,194785.05,40892.39,15979.29,12453.55,69325.23,264110.28,2021
13077,Department of Technology,Fire Alarm Dispatcher,47656517,105098.19,20098.13,16303.47,8415.2,44816.8,149914.99,2021
13102,Department of Technology,IS Engineer-Assistant,48056645,110974.7,23815.7,0.0,8921.54,32737.24,143711.94,2021
13168,Department of Technology,Dep Dir IV,47826628,241332.18,50714.94,20796.77,13301.24,84812.95,326145.13,2021
14130,Department of Technology,Electrical Line Worker,49283491,129577.99,24477.43,0.0,10230.12,34707.55,164285.54,2022
14131,Department of Technology,IS Engineer-Journey,49996529,149798.2,29669.62,0.0,11301.79,40971.41,190769.61,2022
14132,Department of Technology,IS Engineer-Principal,49277626,190655.08,35371.67,0.0,12436.18,47807.85,238462.93,2022
14147,Department of Technology,Electrical Line Helper,49316468,95573.34,19065.8,0.0,7467.94,26533.74,122107.08,2022
14154,Department of Technology,IS Engineer-Principal,50406490,216104.84,35171.0,0.0,13618.28,48789.28,264894.12,2022
14165,Department of Technology,IS Engineer-Senior,49996563,178720.83,32874.13,0.0,12462.99,45337.12,224057.95,2022
14171,Department of Technology,"StdntDsgnTrain1, Arch/Eng/Plng",49446469,62410.32,5594.71,0.0,4792.65,10387.36,72797.68,2022
15213,Department of Technology,Project Manager 2,50336516,109610.6,15865.13,6502.51,8456.29,30823.93,140434.53,2022
15214,Department of Technology,Manager VI,50906517,233073.97,43764.5,20608.71,13447.64,77820.85,310894.82,2022
15217,Department of Technology,Cable Splicer,50858341,143765.87,26314.66,19836.93,10874.78,57026.37,200792.24,2022
15221,Department of Technology,Management Assistant,50869226,87651.64,16881.67,16586.87,6974.26,40442.8,128094.44,2022
15222,Department of Technology,IS Engineer-Journey,51596484,146180.89,26904.58,16101.45,11302.16,54308.19,200489.08,2022
15223,Department of Technology,Senior Comm Systems Technican,51756642,147695.27,26877.77,15220.12,11348.18,53446.07,201141.34,2022
15225,Department of Technology,Media Programming Spec,51926886,70114.43,13113.76,14087.92,5191.23,32392.91,102507.34,2022
15226,Department of Technology,IS Engineer-Assistant,51906574,93232.6,17448.96,11147.16,7200.1,35796.22,129028.82,2022
15229,Department of Technology,Project Manager 2,52067058,15018.0,2661.18,1238.57,1126.01,5025.76,20043.76,2022
15231,Department of Technology,Media/Security Syst Supv,50860132,143630.65,26564.47,18138.57,10823.2,55526.24,199156.89,2022
15232,Department of Technology,Communication Line Sprv1,50861232,188269.34,28159.0,19836.93,12230.04,60225.97,248495.31,2022
15233,Department of Technology,Manager II,50906610,162604.49,30530.97,31313.35,12134.08,73978.4,236582.89,2022
15234,Department of Technology,IS Engineer-Journey,50851696,153956.4,28921.88,16101.45,11555.67,56579.0,210535.4,2022
15235,Department of Technology,Dep Dir IV,50906772,262328.1,49229.69,20310.44,14246.64,83786.77,346114.87,2022
15236,Department of Technology,Cable Splicer,50859058,154987.13,25520.17,18700.5,11538.31,55758.98,210746.11,2022
15237,Department of Technology,IS Business Analyst-Principal,50878663,166488.49,31276.13,16101.45,12016.36,59393.94,225882.43,2022
16688,Department of Technology,Senior Comm Systems Technican,37463371,150296.15,26982.18,14543.01,10923.0,52448.19,202744.34,2018
16691,Department of Technology,Administrative Analyst,37456474,96818.0,18573.86,14543.01,7826.48,40943.35,137761.35,2018
16693,Department of Technology,IS Engineer-Senior,37482600,156307.92,27535.55,14433.94,11017.37,52986.86,209294.78,2018
16694,Department of Technology,IS Business Analyst,37500102,107206.03,20566.84,14433.94,9506.13,44506.91,151712.94,2018
16696,Department of Technology,IS Engineer-Senior,37462289,156401.64,27535.58,14433.94,11070.89,53040.41,209442.05,2018
16702,Department of Technology,IS Engineer-Journey,37491140,140713.48,24847.8,14433.94,10812.45,50094.19,190807.67,2018
20414,Department of Technology,IT Operations Support Admin V,41166183,133280.0,25960.5,14950.3,10512.41,51423.21,184703.21,2019
20417,Department of Technology,IS Business Analyst-Principal,41166206,148032.0,28833.76,14950.3,11239.86,55023.92,203055.92,2019
20419,Department of Technology,IT Operations Support Admn III,41166219,101882.03,20339.04,14950.3,8275.9,43565.24,145447.27,2019
20422,Department of Technology,Pr Administrative Analyst,40796452,134514.01,26200.72,14950.3,10845.25,51996.27,186510.28,2019
20424,Department of Technology,Project Manager 1,41166347,143628.0,27982.26,14950.3,11118.1,54050.66,197678.66,2019
20425,Department of Technology,IS Engineer-Principal,41166386,168276.31,31092.69,14950.3,11432.5,57475.49,225751.8,2019
20430,Department of Technology,Electrical Line Helper,41846188,91868.09,15965.55,16154.75,7132.23,39252.53,131120.62,2019
20432,Department of Technology,IS Engineer-Senior,41466236,140068.35,26339.35,14950.3,10780.09,52069.74,192138.09,2019
20433,Department of Technology,Media Production Tech,41306443,42466.58,2901.78,0.0,3360.78,6262.56,48729.14,2019
21439,Department of Technology,Senior Account Clerk,43396161,30393.02,6307.97,5919.14,2131.4,14358.51,44751.53,2020
21448,Department of Technology,IT Operations Support Admn III,42466615,107465.32,22414.99,15088.45,8586.22,46089.66,153554.98,2020
